date,amount,lastUpdate
2020-07-25T00:00:00.000Z,599,2021-02-22T07:19:44.173Z
2020-07-26T00:00:00.000Z,2791,2021-02-22T07:19:44.173Z
2020-07-27T00:00:00.000Z,1800,2021-02-22T07:19:44.173Z
2020-07-28T00:00:00.000Z,1588,2021-02-22T07:19:44.173Z
2020-07-29T00:00:00.000Z,1426,2021-02-22T07:19:44.173Z
2020-07-30T00:00:00.000Z,1713,2021-02-22T07:19:44.173Z
2020-07-31T00:00:00.000Z,1309,2021-02-22T07:19:44.173Z
2020-08-01T00:00:00.000Z,542,2021-02-22T07:19:44.173Z
2020-08-02T00:00:00.000Z,2488,2021-02-22T07:19:44.173Z
2020-08-03T00:00:00.000Z,1831,2021-02-22T07:19:44.173Z
2020-08-04T00:00:00.000Z,1675,2021-02-22T07:19:44.173Z
2020-08-05T00:00:00.000Z,1504,2021-02-22T07:19:44.173Z
2020-08-06T00:00:00.000Z,1794,2021-02-22T07:19:44.173Z
2020-08-07T00:00:00.000Z,1236,2021-02-22T07:19:44.173Z
2020-08-08T00:00:00.000Z,614,2021-02-22T07:19:44.173Z
2020-08-09T00:00:00.000Z,2276,2021-02-22T07:19:44.173Z
2020-08-10T00:00:00.000Z,1394,2021-02-22T07:19:44.173Z
2020-08-11T00:00:00.000Z,991,2021-02-22T07:19:44.173Z
2020-08-12T00:00:00.000Z,1142,2021-02-22T07:19:44.173Z
2020-08-13T00:00:00.000Z,1316,2021-02-22T07:19:44.173Z
2020-08-14T00:00:00.000Z,985,2021-02-22T07:19:44.173Z
2020-08-15T00:00:00.000Z,568,2021-02-22T07:19:44.173Z
2020-08-16T00:00:00.000Z,2237,2021-02-22T07:19:44.173Z
2020-08-17T00:00:00.000Z,1202,2021-02-22T07:19:44.173Z
2020-08-18T00:00:00.000Z,1125,2021-02-22T07:19:44.173Z
2020-08-19T00:00:00.000Z,1488,2021-02-22T07:19:44.173Z
2020-08-20T00:00:00.000Z,1444,2021-02-22T07:19:44.173Z
2020-08-21T00:00:00.000Z,1592,2021-02-22T07:19:44.173Z
2020-08-22T00:00:00.000Z,669,2021-02-22T07:19:44.173Z
2020-08-23T00:00:00.000Z,2135,2021-02-22T07:19:44.173Z
2020-08-24T00:00:00.000Z,1407,2021-02-22T07:19:44.173Z
2020-08-25T00:00:00.000Z,803,2021-02-22T07:19:44.173Z
2020-08-26T00:00:00.000Z,3691,2021-02-22T07:19:44.173Z
2020-08-27T00:00:00.000Z,1531,2021-02-22T07:19:44.173Z
2020-08-28T00:00:00.000Z,1843,2021-02-22T07:19:44.173Z
2020-08-29T00:00:00.000Z,715,2021-02-22T07:19:44.173Z
2020-08-30T00:00:00.000Z,2298,2021-02-22T07:19:44.173Z
2020-08-31T00:00:00.000Z,1491,2021-02-22T07:19:44.173Z
2020-09-01T00:00:00.000Z,1017,2021-02-22T07:19:44.173Z
2020-09-02T00:00:00.000Z,1410,2021-02-22T07:19:44.173Z
2020-09-03T00:00:00.000Z,1818,2021-02-22T07:19:44.173Z
2020-09-04T00:00:00.000Z,1210,2021-02-22T07:19:44.173Z
2020-09-05T00:00:00.000Z,902,2021-02-22T07:19:44.173Z
2020-09-06T00:00:00.000Z,2415,2021-02-22T07:19:44.173Z
2020-09-07T00:00:00.000Z,1605,2021-02-22T07:19:44.173Z
2020-09-08T00:00:00.000Z,1450,2021-02-22T07:19:44.173Z
2020-09-09T00:00:00.000Z,1479,2021-02-22T07:19:44.173Z
2020-09-10T00:00:00.000Z,1995,2021-02-22T07:19:44.173Z
2020-09-11T00:00:00.000Z,1787,2021-02-22T07:19:44.173Z
2020-09-12T00:00:00.000Z,1276,2021-02-22T07:19:44.173Z
