date,amount,total,lastUpdate
2020-10-13T00:00:00.000Z,38,2094,2021-04-25T06:14:11.900Z
2020-10-14T00:00:00.000Z,35,2129,2021-04-25T06:14:11.900Z
2020-10-15T00:00:00.000Z,30,2159,2021-04-25T06:14:11.900Z
2020-10-16T00:00:00.000Z,35,2194,2021-04-25T06:14:11.900Z
2020-10-17T00:00:00.000Z,32,2226,2021-04-25T06:14:11.900Z
2020-10-18T00:00:00.000Z,33,2259,2021-04-25T06:14:11.900Z
2020-10-19T00:00:00.000Z,31,2290,2021-04-25T06:14:11.900Z
2020-10-20T00:00:00.000Z,20,2310,2021-04-25T06:14:11.900Z
2020-10-21T00:00:00.000Z,25,2335,2021-04-25T06:14:11.900Z
2020-10-22T00:00:00.000Z,29,2364,2021-04-25T06:14:11.900Z
2020-10-23T00:00:00.000Z,26,2390,2021-04-25T06:14:11.900Z
2020-10-24T00:00:00.000Z,27,2417,2021-04-25T06:14:11.900Z
2020-10-25T00:00:00.000Z,35,2452,2021-04-25T06:14:11.900Z
2020-10-26T00:00:00.000Z,28,2480,2021-04-25T06:14:11.900Z
2020-10-27T00:00:00.000Z,28,2508,2021-04-25T06:14:11.900Z
2020-10-28T00:00:00.000Z,9,2517,2021-04-25T06:14:11.900Z
2020-10-29T00:00:00.000Z,19,2536,2021-04-25T06:14:11.900Z
2020-10-30T00:00:00.000Z,12,2548,2021-04-25T06:14:11.900Z
2020-10-31T00:00:00.000Z,25,2573,2021-04-25T06:14:11.900Z
2020-11-01T00:00:00.000Z,19,2592,2021-04-25T06:14:11.900Z
2020-11-02T00:00:00.000Z,15,2607,2021-04-25T06:14:11.900Z
2020-11-03T00:00:00.000Z,26,2633,2021-04-25T06:14:11.900Z
2020-11-04T00:00:00.000Z,15,2648,2021-04-25T06:14:11.900Z
2020-11-05T00:00:00.000Z,14,2662,2021-04-25T06:14:11.900Z
2020-11-06T00:00:00.000Z,16,2678,2021-04-25T06:14:11.900Z
2020-11-07T00:00:00.000Z,8,2686,2021-04-25T06:14:11.900Z
2020-11-08T00:00:00.000Z,7,2693,2021-04-25T06:14:11.900Z
2020-11-09T00:00:00.000Z,7,2700,2021-04-25T06:14:11.900Z
2020-11-10T00:00:00.000Z,10,2710,2021-04-25T06:14:11.900Z
2020-11-11T00:00:00.000Z,7,2717,2021-04-25T06:14:11.900Z
2020-11-12T00:00:00.000Z,12,2729,2021-04-25T06:14:11.900Z
2020-11-13T00:00:00.000Z,5,2734,2021-04-25T06:14:11.900Z
2020-11-14T00:00:00.000Z,12,2746,2021-04-25T06:14:11.900Z
2020-11-15T00:00:00.000Z,9,2755,2021-04-25T06:14:11.900Z
2020-11-16T00:00:00.000Z,8,2763,2021-04-25T06:14:11.900Z
2020-11-17T00:00:00.000Z,12,2775,2021-04-25T06:14:11.900Z
2020-11-18T00:00:00.000Z,7,2782,2021-04-25T06:14:11.900Z
2020-11-19T00:00:00.000Z,8,2790,2021-04-25T06:14:11.900Z
2020-11-20T00:00:00.000Z,6,2796,2021-04-25T06:14:11.900Z
2020-11-21T00:00:00.000Z,12,2808,2021-04-25T06:14:11.900Z
2020-11-22T00:00:00.000Z,16,2824,2021-04-25T06:14:11.900Z
2020-11-23T00:00:00.000Z,7,2831,2021-04-25T06:14:11.900Z
2020-11-24T00:00:00.000Z,6,2837,2021-04-25T06:14:11.900Z
2020-11-25T00:00:00.000Z,5,2842,2021-04-25T06:14:11.900Z
2020-11-26T00:00:00.000Z,9,2851,2021-04-25T06:14:11.900Z
2020-11-27T00:00:00.000Z,7,2858,2021-04-25T06:14:11.900Z
2020-11-28T00:00:00.000Z,9,2867,2021-04-25T06:14:11.900Z
2020-11-29T00:00:00.000Z,10,2877,2021-04-25T06:14:11.900Z
2020-11-30T00:00:00.000Z,6,2883,2021-04-25T06:14:11.900Z
2020-12-01T00:00:00.000Z,10,2893,2021-04-25T06:14:11.900Z
2020-12-02T00:00:00.000Z,5,2898,2021-04-25T06:14:11.900Z
2020-12-03T00:00:00.000Z,10,2908,2021-04-25T06:14:11.900Z
2020-12-04T00:00:00.000Z,10,2918,2021-04-25T06:14:11.900Z
2020-12-05T00:00:00.000Z,10,2928,2021-04-25T06:14:11.900Z
2020-12-06T00:00:00.000Z,8,2936,2021-04-25T06:14:11.900Z
2020-12-07T00:00:00.000Z,7,2943,2021-04-25T06:14:11.900Z
2020-12-08T00:00:00.000Z,12,2955,2021-04-25T06:14:11.900Z
2020-12-09T00:00:00.000Z,13,2968,2021-04-25T06:14:11.900Z
2020-12-10T00:00:00.000Z,13,2981,2021-04-25T06:14:11.900Z
2020-12-11T00:00:00.000Z,11,2992,2021-04-25T06:14:11.900Z
2020-12-12T00:00:00.000Z,16,3008,2021-04-25T06:14:11.900Z
2020-12-13T00:00:00.000Z,9,3017,2021-04-25T06:14:11.900Z
2020-12-14T00:00:00.000Z,11,3028,2021-04-25T06:14:11.900Z
2020-12-15T00:00:00.000Z,12,3040,2021-04-25T06:14:11.900Z
2020-12-16T00:00:00.000Z,15,3055,2021-04-25T06:14:11.900Z
2020-12-17T00:00:00.000Z,17,3072,2021-04-25T06:14:11.900Z
2020-12-18T00:00:00.000Z,16,3088,2021-04-25T06:14:11.900Z
2020-12-19T00:00:00.000Z,19,3107,2021-04-25T06:14:11.900Z
2020-12-20T00:00:00.000Z,19,3126,2021-04-25T06:14:11.900Z
2020-12-21T00:00:00.000Z,16,3142,2021-04-25T06:14:11.900Z
2020-12-22T00:00:00.000Z,13,3155,2021-04-25T06:14:11.900Z
2020-12-23T00:00:00.000Z,25,3180,2021-04-25T06:14:11.900Z
2020-12-24T00:00:00.000Z,15,3195,2021-04-25T06:14:11.900Z
2020-12-25T00:00:00.000Z,20,3215,2021-04-25T06:14:11.900Z
2020-12-26T00:00:00.000Z,23,3238,2021-04-25T06:14:11.900Z
2020-12-27T00:00:00.000Z,21,3259,2021-04-25T06:14:11.900Z
2020-12-28T00:00:00.000Z,32,3291,2021-04-25T06:14:11.900Z
2020-12-29T00:00:00.000Z,25,3316,2021-04-25T06:14:11.900Z
2020-12-30T00:00:00.000Z,16,3332,2021-04-25T06:14:11.900Z
2020-12-31T00:00:00.000Z,36,3368,2021-04-25T06:14:11.900Z
2021-01-01T00:00:00.000Z,34,3402,2021-04-25T06:14:11.900Z
2021-01-02T00:00:00.000Z,27,3429,2021-04-25T06:14:11.900Z
2021-01-03T00:00:00.000Z,26,3455,2021-04-25T06:14:11.900Z
2021-01-04T00:00:00.000Z,37,3492,2021-04-25T06:14:11.900Z
2021-01-05T00:00:00.000Z,24,3516,2021-04-25T06:14:11.900Z
2021-01-06T00:00:00.000Z,44,3560,2021-04-25T06:14:11.900Z
2021-01-07T00:00:00.000Z,48,3608,2021-04-25T06:14:11.900Z
2021-01-08T00:00:00.000Z,45,3653,2021-04-25T06:14:11.900Z
2021-01-09T00:00:00.000Z,20,3673,2021-04-25T06:14:11.900Z
2021-01-10T00:00:00.000Z,41,3714,2021-04-25T06:14:11.900Z
2021-01-11T00:00:00.000Z,29,3743,2021-04-25T06:14:11.900Z
2021-01-12T00:00:00.000Z,55,3798,2021-04-25T06:14:11.900Z
2021-01-13T00:00:00.000Z,57,3855,2021-04-25T06:14:11.900Z
2021-01-14T00:00:00.000Z,59,3914,2021-04-25T06:14:11.900Z
2021-01-15T00:00:00.000Z,52,3966,2021-04-25T06:14:11.900Z
2021-01-16T00:00:00.000Z,47,4013,2021-04-25T06:14:11.900Z
2021-01-17T00:00:00.000Z,56,4069,2021-04-25T06:14:11.900Z
2021-01-18T00:00:00.000Z,46,4115,2021-04-25T06:14:11.900Z
2021-01-19T00:00:00.000Z,43,4158,2021-04-25T06:14:11.900Z
2021-01-20T00:00:00.000Z,54,4212,2021-04-25T06:14:11.900Z
2021-01-21T00:00:00.000Z,48,4260,2021-04-25T06:14:11.900Z
2021-01-22T00:00:00.000Z,66,4326,2021-04-25T06:14:11.900Z
2021-01-23T00:00:00.000Z,51,4377,2021-04-25T06:14:11.900Z
2021-01-24T00:00:00.000Z,77,4454,2021-04-25T06:14:11.900Z
2021-01-25T00:00:00.000Z,60,4514,2021-04-25T06:14:11.900Z
2021-01-26T00:00:00.000Z,53,4567,2021-04-25T06:14:11.900Z
2021-01-27T00:00:00.000Z,60,4627,2021-04-25T06:14:11.900Z
2021-01-28T00:00:00.000Z,49,4676,2021-04-25T06:14:11.900Z
2021-01-29T00:00:00.000Z,45,4721,2021-04-25T06:14:11.900Z
2021-01-30T00:00:00.000Z,38,4759,2021-04-25T06:14:11.900Z
2021-01-31T00:00:00.000Z,52,4811,2021-04-25T06:14:11.900Z
2021-02-01T00:00:00.000Z,46,4857,2021-04-25T06:14:11.900Z
2021-02-02T00:00:00.000Z,61,4918,2021-04-25T06:14:11.900Z
2021-02-03T00:00:00.000Z,57,4975,2021-04-25T06:14:11.900Z
2021-02-04T00:00:00.000Z,48,5023,2021-04-25T06:14:11.900Z
2021-02-05T00:00:00.000Z,33,5056,2021-04-25T06:14:11.900Z
2021-02-06T00:00:00.000Z,52,5108,2021-04-25T06:14:11.900Z
2021-02-07T00:00:00.000Z,44,5152,2021-04-25T06:14:11.900Z
2021-02-08T00:00:00.000Z,30,5182,2021-04-25T06:14:11.900Z
2021-02-09T00:00:00.000Z,43,5225,2021-04-25T06:14:11.900Z
2021-02-10T00:00:00.000Z,32,5257,2021-04-25T06:14:11.900Z
2021-02-11T00:00:00.000Z,30,5287,2021-04-25T06:14:11.900Z
2021-02-12T00:00:00.000Z,40,5327,2021-04-25T06:14:11.900Z
2021-02-13T00:00:00.000Z,29,5356,2021-04-25T06:14:11.900Z
2021-02-14T00:00:00.000Z,37,5393,2021-04-25T06:14:11.900Z
2021-02-15T00:00:00.000Z,16,5409,2021-04-25T06:14:11.900Z
2021-02-16T00:00:00.000Z,42,5451,2021-04-25T06:14:11.900Z
2021-02-17T00:00:00.000Z,27,5478,2021-04-25T06:14:11.900Z
2021-02-18T00:00:00.000Z,34,5512,2021-04-25T06:14:11.900Z
2021-02-19T00:00:00.000Z,22,5534,2021-04-25T06:14:11.900Z
2021-02-20T00:00:00.000Z,25,5559,2021-04-25T06:14:11.900Z
2021-02-21T00:00:00.000Z,24,5583,2021-04-25T06:14:11.900Z
2021-02-22T00:00:00.000Z,16,5599,2021-04-25T06:14:11.900Z
2021-02-23T00:00:00.000Z,35,5634,2021-04-25T06:14:11.900Z
2021-02-24T00:00:00.000Z,26,5660,2021-04-25T06:14:11.900Z
2021-02-25T00:00:00.000Z,23,5683,2021-04-25T06:14:11.900Z
2021-02-26T00:00:00.000Z,22,5705,2021-04-25T06:14:11.900Z
